,Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
359,Spain,2021,69.645,63920.575,532.62,181984.635,145.305,48.6,1073.76,26592.485,6400.975,7474.735,72449.525,9175.82
360,Spain,2022,87.685,74512.76,759.095,219565.425,162.845,42.09,1435.52,31762.825,6976.68,8412.2,103081.62,9548.59
361,Spain,2023,43.09,75823.86,594.735,,166.845,61.125,2450.085,32422.79,7129.295,9579.38,111398.185,10538.37
362,Sweden,2014,,42191.46,,,43.95,,3179.63,4225.36,5159.445,8542.665,201786.7,49618.68
363,Sweden,2015,,45491.465,,,56.575,,2800.44,4273.9,4707.305,7696.66,201873.025,48774.305
364,Sweden,2016,126.775,44979.51,10625.275,109833.745,53.54,,3187.53,4324.455,5538.66,8930.24,189603.365,47248.31
365,Sweden,2017,144.935,45440.625,10653.025,128050.94,57.065,,3519.36,4367.765,5810.055,9531.415,181857.94,51842.54
366,Sweden,2018,222.68,39341.94,10619.405,152093.155,54.535,,3824.925,4365.715,5701.285,9731.215,168794.57,54879.47
367,Sweden,2019,81.285,38093.76,10409.265,148125.41,56.045,,4175.925,4561.66,5625.455,10077.555,166135.25,58257.96
368,Sweden,2020,76.735,40962.83,9991.315,140827.53,62.6,,4485.01,4448.66,5839.5,10674.365,157024.86,63733.705
369,Sweden,2021,201.925,36859.74,10743.015,130354.425,57.045,,4701.87,3685.67,6378.87,11407.86,145885.63,60695.695
370,Sweden,2022,87.33,34995.135,9838.235,125554.83,58.555,,4557.69,3272.51,5706.58,10570.17,150818.24,58491.8
371,Sweden,2023,135.78,35249.365,10490.77,,61.075,,4496.33,3231.425,5418.01,10201.04,145338.335,58129.275
372,Switzerland,2014,,32244.33,,,20.75,0.505,281.415,1198.04,1108.96,1390.375,88373.035,40990.48
373,Switzerland,2015,,26603.575,,,28.845,2.025,269.23,940.785,1102.22,1371.45,79913.97,43586.77
374,Switzerland,2016,10.12,23548.94,1897.01,8310.615,22.77,1.52,297.53,949.265,1089.935,1387.465,74058.31,42133.98
375,Switzerland,2017,12.65,20921.065,1714.625,7197.99,22.765,1.52,313.175,883.37,1586.625,1899.8,71592.33,40512.525
376,Switzerland,2018,9.105,19664.58,9.61,8863.25,25.295,4.045,316.69,831.69,336.42,1438.255,66548.245,38603.71
377,Switzerland,2019,6.575,18422.615,7.08,9662.275,23.27,2.53,343.475,946.955,316.665,1383.0,67099.205,38321.805
378,Switzerland,2020,10.115,16600.175,10.62,10500.105,23.775,3.035,360.64,985.825,345.47,1471.4,61365.865,34698.56
379,Switzerland,2021,30.345,15772.845,30.345,12182.405,21.24,2.53,382.865,878.01,364.15,1542.59,59471.095,30794.625
380,Switzerland,2022,28.825,18070.445,28.825,13028.4,21.24,2.025,438.46,981.605,380.305,1591.505,70280.135,27968.43
381,Switzerland,2023,14.665,20949.48,15.17,,26.8,3.035,424.26,975.945,341.835,1510.95,85243.64,27537.88
382,Türkiye,2016,859.09,,2485.15,38799.21,,,,5452.915,2767.51,,,
383,Türkiye,2017,,83415.88,,,1162.955,,,6098.13,3166.46,,149630.74,
384,Türkiye,2018,,61711.27,,,988.22,,,5499.795,3765.155,,125419.51,
385,Türkiye,2019,,53446.095,,,923.625,,,5455.145,4245.67,,108409.04,
386,Türkiye,2020,,50409.05,,,984.685,,,5624.755,3871.15,,99068.495,
387,Türkiye,2021,,52764.53,,,987.68,,,6648.94,4518.395,,105120.57,
388,Türkiye,2022,,61168.65,,,1046.735,,,7847.755,4831.2,,121166.92,
389,Türkiye,2023,,45628.94,,,1082.77,,,7447.725,4258.99,,90924.495,
