,Geopolitical entity (reporting),TIME_PERIOD,Bribery,Burglary,Corruption,Fraud,Intentional homicide,Kidnapping,Rape,Robbery,Sexual assault,Sexual violence,Theft,Unlawful acts involving controlled drugs or precursors
189,Kosovo*,2018,20.585,2745.62,,331.46,22.695,8.445,16.89,169.95,24.28,191.59,2939.325,813.34
190,Kosovo*,2019,10.555,2194.25,,347.32,12.14,11.085,26.39,108.21,32.2,80.76,2552.13,782.795
191,Kosovo*,2020,21.12,2027.21,,247.13,14.785,7.92,31.685,88.185,29.57,,2230.51,640.535
192,Kosovo*,2021,,3584.0,,,26.0,10.0,100.0,171.0,73.0,,4621.0,315.0
193,Latvia,2014,,321.29,,,40.425,8.925,39.375,424.71,193.72,290.315,10803.075,1415.875
194,Latvia,2015,,263.115,,,42.54,8.93,31.51,409.11,127.62,244.73,10181.57,1853.345
195,Latvia,2016,121.89,3344.135,150.79,938.355,58.32,4.205,74.605,342.03,43.61,115.585,7654.995,1399.125
196,Latvia,2017,65.705,2749.62,97.245,790.035,57.295,2.105,84.63,317.485,58.87,137.72,7639.645,1571.135
197,Latvia,2018,77.3,2564.56,127.255,924.44,53.11,5.26,92.55,280.805,69.94,155.125,7386.59,1370.885
198,Latvia,2019,54.18,2214.635,186.22,831.145,47.87,6.84,89.955,259.34,71.54,159.39,6896.94,1238.83
199,Latvia,2020,63.67,2001.175,95.77,910.87,48.94,6.315,106.295,228.9,60.515,162.6,6734.96,1039.265
200,Latvia,2021,77.38,1462.895,107.915,1565.015,51.59,3.16,90.545,138.445,91.07,176.345,4158.64,770.14
201,Latvia,2022,79.0,1454.625,102.7,1222.895,40.025,5.265,127.45,147.465,89.005,210.135,5066.955,666.745
202,Latvia,2023,48.97,1251.09,82.67,,41.6,8.425,149.015,169.025,147.435,290.13,5640.44,710.845
203,Liechtenstein,2014,,409.96,,,1.845,0.0,9.235,1.845,25.855,14.775,395.185,698.0350000000001
204,Liechtenstein,2015,,308.805,,,0.0,0.0,3.675,5.515,29.41,16.545,354.755,507.32
205,Liechtenstein,2016,0.0,257.89,7.315,320.075,0.0,0.0,3.66,7.315,12.805,16.46,358.485,815.74
206,Liechtenstein,2017,,231.445,10.934999999999999,236.91,1.82,,9.11,3.645,,14.58,271.53999999999996,892.975
207,Liechtenstein,2018,,253.66,25.365,284.46000000000004,1.81,,9.059999999999999,3.625,,16.305,293.52,1291.85
208,Liechtenstein,2019,,192.905,19.83,322.70500000000004,0.0,0.0,1.805,3.605,,10.815000000000001,320.905,1429.645
209,Liechtenstein,2020,,105.635,17.905,315.115,1.79,0.0,5.37,7.16,,19.695,238.125,1894.265
210,Liechtenstein,2021,,197.605,24.925,327.565,,0.0,3.56,3.56,,10.68,327.565,850.955
211,Liechtenstein,2022,,244.535,19.490000000000002,349.08500000000004,0.0,0.0,7.09,3.545,,24.81,450.09,825.755
212,Liechtenstein,2023,,327.395,22.88,,0.0,0.0,8.8,10.559999999999999,,35.205,431.245,1341.255
213,Lithuania,2014,,1727.77,,,80.135,0.0,81.685,872.675,82.2,163.885,14421.345,1337.445
214,Lithuania,2015,,1550.83,,,86.875,0.0,80.155,822.215,55.85,136.0,11781.45,1305.2
215,Lithuania,2016,32.075,1374.49,393.675,1484.68,73.46,0.0,56.905,694.23,50.695,107.6,10327.055,1183.605
216,Lithuania,2017,44.51,1340.47,387.65,1552.155,58.485,0.0,64.175,563.1,52.79,116.97,8819.165,1357.035
