,Country Name,Country Code,Indicator Name,Indicator Code,Year,Value
15771,France,FRA,Gini index,SI.POV.GINI,2019.0,31.2
15783,Greece,GRC,Gini index,SI.POV.GINI,2019.0,33.1
15793,Croatia,HRV,Gini index,SI.POV.GINI,2019.0,28.9
15795,Hungary,HUN,Gini index,SI.POV.GINI,2019.0,30.0
15805,Ireland,IRL,Gini index,SI.POV.GINI,2019.0,30.3
15808,Iceland,ISL,Gini index,SI.POV.GINI,2019.0,
15810,Italy,ITA,Gini index,SI.POV.GINI,2019.0,34.6
15831,Liechtenstein,LIE,Gini index,SI.POV.GINI,2019.0,
15837,Lithuania,LTU,Gini index,SI.POV.GINI,2019.0,35.3
15838,Luxembourg,LUX,Gini index,SI.POV.GINI,2019.0,34.2
15839,Latvia,LVA,Gini index,SI.POV.GINI,2019.0,34.5
15851,North Macedonia,MKD,Gini index,SI.POV.GINI,2019.0,33.5
15853,Malta,MLT,Gini index,SI.POV.GINI,2019.0,31.0
15856,Montenegro,MNE,Gini index,SI.POV.GINI,2019.0,35.7
15870,Netherlands,NLD,Gini index,SI.POV.GINI,2019.0,29.2
15871,Norway,NOR,Gini index,SI.POV.GINI,2019.0,27.7
15884,Poland,POL,Gini index,SI.POV.GINI,2019.0,28.8
15888,Portugal,PRT,Gini index,SI.POV.GINI,2019.0,32.8
15895,Romania,ROU,Gini index,SI.POV.GINI,2019.0,34.8
15908,Serbia,SRB,Gini index,SI.POV.GINI,2019.0,34.5
15916,Slovenia,SVN,Gini index,SI.POV.GINI,2019.0,24.4
15917,Sweden,SWE,Gini index,SI.POV.GINI,2019.0,29.3
15965,Albania,ALB,Gini index,SI.POV.GINI,2020.0,29.4
15974,Austria,AUT,Gini index,SI.POV.GINI,2020.0,29.8
15977,Belgium,BEL,Gini index,SI.POV.GINI,2020.0,26.0
15981,Bulgaria,BGR,Gini index,SI.POV.GINI,2020.0,40.5
15984,Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,2020.0,
15997,Switzerland,CHE,Gini index,SI.POV.GINI,2020.0,33.7
16013,Cyprus,CYP,Gini index,SI.POV.GINI,2020.0,31.7
16014,Czechia,CZE,Gini index,SI.POV.GINI,2020.0,26.2
16015,Germany,DEU,Gini index,SI.POV.GINI,2020.0,32.4
16018,Denmark,DNK,Gini index,SI.POV.GINI,2020.0,27.5
16030,Spain,ESP,Gini index,SI.POV.GINI,2020.0,34.9
16031,Estonia,EST,Gini index,SI.POV.GINI,2020.0,30.7
16035,Finland,FIN,Gini index,SI.POV.GINI,2020.0,27.1
16037,France,FRA,Gini index,SI.POV.GINI,2020.0,30.7
16049,Greece,GRC,Gini index,SI.POV.GINI,2020.0,33.6
16059,Croatia,HRV,Gini index,SI.POV.GINI,2020.0,29.5
16061,Hungary,HUN,Gini index,SI.POV.GINI,2020.0,29.7
16071,Ireland,IRL,Gini index,SI.POV.GINI,2020.0,29.2
16074,Iceland,ISL,Gini index,SI.POV.GINI,2020.0,
16076,Italy,ITA,Gini index,SI.POV.GINI,2020.0,35.2
16097,Liechtenstein,LIE,Gini index,SI.POV.GINI,2020.0,
16103,Lithuania,LTU,Gini index,SI.POV.GINI,2020.0,36.0
16104,Luxembourg,LUX,Gini index,SI.POV.GINI,2020.0,33.4
16105,Latvia,LVA,Gini index,SI.POV.GINI,2020.0,35.7
16117,North Macedonia,MKD,Gini index,SI.POV.GINI,2020.0,
16119,Malta,MLT,Gini index,SI.POV.GINI,2020.0,31.4
16122,Montenegro,MNE,Gini index,SI.POV.GINI,2020.0,35.4
16136,Netherlands,NLD,Gini index,SI.POV.GINI,2020.0,26.0
16137,Norway,NOR,Gini index,SI.POV.GINI,2020.0,28.4
16150,Poland,POL,Gini index,SI.POV.GINI,2020.0,28.5
16154,Portugal,PRT,Gini index,SI.POV.GINI,2020.0,34.7
16161,Romania,ROU,Gini index,SI.POV.GINI,2020.0,34.6
16174,Serbia,SRB,Gini index,SI.POV.GINI,2020.0,35.0
16182,Slovenia,SVN,Gini index,SI.POV.GINI,2020.0,24.0
16183,Sweden,SWE,Gini index,SI.POV.GINI,2020.0,28.9
16231,Albania,ALB,Gini index,SI.POV.GINI,2021.0,
16240,Austria,AUT,Gini index,SI.POV.GINI,2021.0,30.7
16243,Belgium,BEL,Gini index,SI.POV.GINI,2021.0,26.6
16247,Bulgaria,BGR,Gini index,SI.POV.GINI,2021.0,39.0
16250,Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,2021.0,
16263,Switzerland,CHE,Gini index,SI.POV.GINI,2021.0,33.8
16279,Cyprus,CYP,Gini index,SI.POV.GINI,2021.0,31.3
16280,Czechia,CZE,Gini index,SI.POV.GINI,2021.0,26.2
16281,Germany,DEU,Gini index,SI.POV.GINI,2021.0,
16284,Denmark,DNK,Gini index,SI.POV.GINI,2021.0,28.3
16296,Spain,ESP,Gini index,SI.POV.GINI,2021.0,33.9
16297,Estonia,EST,Gini index,SI.POV.GINI,2021.0,31.8
16301,Finland,FIN,Gini index,SI.POV.GINI,2021.0,27.7
16303,France,FRA,Gini index,SI.POV.GINI,2021.0,31.5
16315,Greece,GRC,Gini index,SI.POV.GINI,2021.0,32.9
16325,Croatia,HRV,Gini index,SI.POV.GINI,2021.0,28.9
16327,Hungary,HUN,Gini index,SI.POV.GINI,2021.0,29.2
16337,Ireland,IRL,Gini index,SI.POV.GINI,2021.0,29.4
16340,Iceland,ISL,Gini index,SI.POV.GINI,2021.0,
16342,Italy,ITA,Gini index,SI.POV.GINI,2021.0,34.8
16363,Liechtenstein,LIE,Gini index,SI.POV.GINI,2021.0,
16369,Lithuania,LTU,Gini index,SI.POV.GINI,2021.0,36.7
16370,Luxembourg,LUX,Gini index,SI.POV.GINI,2021.0,32.7
16371,Latvia,LVA,Gini index,SI.POV.GINI,2021.0,34.3
16383,North Macedonia,MKD,Gini index,SI.POV.GINI,2021.0,
16385,Malta,MLT,Gini index,SI.POV.GINI,2021.0,31.6
16388,Montenegro,MNE,Gini index,SI.POV.GINI,2021.0,34.3
16402,Netherlands,NLD,Gini index,SI.POV.GINI,2021.0,25.7
16403,Norway,NOR,Gini index,SI.POV.GINI,2021.0,29.1
16416,Poland,POL,Gini index,SI.POV.GINI,2021.0,28.5
16420,Portugal,PRT,Gini index,SI.POV.GINI,2021.0,34.6
16427,Romania,ROU,Gini index,SI.POV.GINI,2021.0,33.9
16440,Serbia,SRB,Gini index,SI.POV.GINI,2021.0,33.1
16448,Slovenia,SVN,Gini index,SI.POV.GINI,2021.0,24.3
16449,Sweden,SWE,Gini index,SI.POV.GINI,2021.0,29.8
16497,Albania,ALB,Gini index,SI.POV.GINI,2022.0,
16506,Austria,AUT,Gini index,SI.POV.GINI,2022.0,30.9
16509,Belgium,BEL,Gini index,SI.POV.GINI,2022.0,26.4
16513,Bulgaria,BGR,Gini index,SI.POV.GINI,2022.0,38.2
16516,Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,2022.0,
16529,Switzerland,CHE,Gini index,SI.POV.GINI,2022.0,
16545,Cyprus,CYP,Gini index,SI.POV.GINI,2022.0,31.5
16546,Czechia,CZE,Gini index,SI.POV.GINI,2022.0,25.9
16547,Germany,DEU,Gini index,SI.POV.GINI,2022.0,
16550,Denmark,DNK,Gini index,SI.POV.GINI,2022.0,29.3
16562,Spain,ESP,Gini index,SI.POV.GINI,2022.0,33.6
16563,Estonia,EST,Gini index,SI.POV.GINI,2022.0,32.3
16567,Finland,FIN,Gini index,SI.POV.GINI,2022.0,27.9
16569,France,FRA,Gini index,SI.POV.GINI,2022.0,31.2
16581,Greece,GRC,Gini index,SI.POV.GINI,2022.0,33.4
16591,Croatia,HRV,Gini index,SI.POV.GINI,2022.0,30.0
16593,Hungary,HUN,Gini index,SI.POV.GINI,2022.0,30.2
16603,Ireland,IRL,Gini index,SI.POV.GINI,2022.0,29.9
16606,Iceland,ISL,Gini index,SI.POV.GINI,2022.0,
16608,Italy,ITA,Gini index,SI.POV.GINI,2022.0,33.7
16629,Liechtenstein,LIE,Gini index,SI.POV.GINI,2022.0,
16635,Lithuania,LTU,Gini index,SI.POV.GINI,2022.0,36.6
16636,Luxembourg,LUX,Gini index,SI.POV.GINI,2022.0,34.1
16637,Latvia,LVA,Gini index,SI.POV.GINI,2022.0,33.7
16649,North Macedonia,MKD,Gini index,SI.POV.GINI,2022.0,
16651,Malta,MLT,Gini index,SI.POV.GINI,2022.0,34.6
16654,Montenegro,MNE,Gini index,SI.POV.GINI,2022.0,
16668,Netherlands,NLD,Gini index,SI.POV.GINI,2022.0,
16669,Norway,NOR,Gini index,SI.POV.GINI,2022.0,26.9
16682,Poland,POL,Gini index,SI.POV.GINI,2022.0,28.9
16686,Portugal,PRT,Gini index,SI.POV.GINI,2022.0,36.3
16693,Romania,ROU,Gini index,SI.POV.GINI,2022.0,32.3
16706,Serbia,SRB,Gini index,SI.POV.GINI,2022.0,32.8
16714,Slovenia,SVN,Gini index,SI.POV.GINI,2022.0,24.3
16715,Sweden,SWE,Gini index,SI.POV.GINI,2022.0,31.6
16763,Albania,ALB,Gini index,SI.POV.GINI,2023.0,
16772,Austria,AUT,Gini index,SI.POV.GINI,2023.0,
16775,Belgium,BEL,Gini index,SI.POV.GINI,2023.0,
16779,Bulgaria,BGR,Gini index,SI.POV.GINI,2023.0,
16782,Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,2023.0,
16795,Switzerland,CHE,Gini index,SI.POV.GINI,2023.0,
16811,Cyprus,CYP,Gini index,SI.POV.GINI,2023.0,
16812,Czechia,CZE,Gini index,SI.POV.GINI,2023.0,
16813,Germany,DEU,Gini index,SI.POV.GINI,2023.0,
16816,Denmark,DNK,Gini index,SI.POV.GINI,2023.0,
16828,Spain,ESP,Gini index,SI.POV.GINI,2023.0,
16829,Estonia,EST,Gini index,SI.POV.GINI,2023.0,
16833,Finland,FIN,Gini index,SI.POV.GINI,2023.0,
16835,France,FRA,Gini index,SI.POV.GINI,2023.0,
16847,Greece,GRC,Gini index,SI.POV.GINI,2023.0,
16857,Croatia,HRV,Gini index,SI.POV.GINI,2023.0,
16859,Hungary,HUN,Gini index,SI.POV.GINI,2023.0,
16869,Ireland,IRL,Gini index,SI.POV.GINI,2023.0,
16872,Iceland,ISL,Gini index,SI.POV.GINI,2023.0,
16874,Italy,ITA,Gini index,SI.POV.GINI,2023.0,
16895,Liechtenstein,LIE,Gini index,SI.POV.GINI,2023.0,
16901,Lithuania,LTU,Gini index,SI.POV.GINI,2023.0,
16902,Luxembourg,LUX,Gini index,SI.POV.GINI,2023.0,
16903,Latvia,LVA,Gini index,SI.POV.GINI,2023.0,
16915,North Macedonia,MKD,Gini index,SI.POV.GINI,2023.0,
16917,Malta,MLT,Gini index,SI.POV.GINI,2023.0,
16920,Montenegro,MNE,Gini index,SI.POV.GINI,2023.0,
16934,Netherlands,NLD,Gini index,SI.POV.GINI,2023.0,
16935,Norway,NOR,Gini index,SI.POV.GINI,2023.0,
16948,Poland,POL,Gini index,SI.POV.GINI,2023.0,
16952,Portugal,PRT,Gini index,SI.POV.GINI,2023.0,
16959,Romania,ROU,Gini index,SI.POV.GINI,2023.0,
16972,Serbia,SRB,Gini index,SI.POV.GINI,2023.0,
16980,Slovenia,SVN,Gini index,SI.POV.GINI,2023.0,
16981,Sweden,SWE,Gini index,SI.POV.GINI,2023.0,
17029,Albania,ALB,Gini index,SI.POV.GINI,2024.0,
17038,Austria,AUT,Gini index,SI.POV.GINI,2024.0,
17041,Belgium,BEL,Gini index,SI.POV.GINI,2024.0,
17045,Bulgaria,BGR,Gini index,SI.POV.GINI,2024.0,
17048,Bosnia and Herzegovina,BIH,Gini index,SI.POV.GINI,2024.0,
17061,Switzerland,CHE,Gini index,SI.POV.GINI,2024.0,
17077,Cyprus,CYP,Gini index,SI.POV.GINI,2024.0,
17078,Czechia,CZE,Gini index,SI.POV.GINI,2024.0,
17079,Germany,DEU,Gini index,SI.POV.GINI,2024.0,
17082,Denmark,DNK,Gini index,SI.POV.GINI,2024.0,
17094,Spain,ESP,Gini index,SI.POV.GINI,2024.0,
17095,Estonia,EST,Gini index,SI.POV.GINI,2024.0,
17099,Finland,FIN,Gini index,SI.POV.GINI,2024.0,
17101,France,FRA,Gini index,SI.POV.GINI,2024.0,
17113,Greece,GRC,Gini index,SI.POV.GINI,2024.0,
17123,Croatia,HRV,Gini index,SI.POV.GINI,2024.0,
17125,Hungary,HUN,Gini index,SI.POV.GINI,2024.0,
17135,Ireland,IRL,Gini index,SI.POV.GINI,2024.0,
17138,Iceland,ISL,Gini index,SI.POV.GINI,2024.0,
17140,Italy,ITA,Gini index,SI.POV.GINI,2024.0,
17161,Liechtenstein,LIE,Gini index,SI.POV.GINI,2024.0,
17167,Lithuania,LTU,Gini index,SI.POV.GINI,2024.0,
17168,Luxembourg,LUX,Gini index,SI.POV.GINI,2024.0,
17169,Latvia,LVA,Gini index,SI.POV.GINI,2024.0,
17181,North Macedonia,MKD,Gini index,SI.POV.GINI,2024.0,
17183,Malta,MLT,Gini index,SI.POV.GINI,2024.0,
17186,Montenegro,MNE,Gini index,SI.POV.GINI,2024.0,
17200,Netherlands,NLD,Gini index,SI.POV.GINI,2024.0,
17201,Norway,NOR,Gini index,SI.POV.GINI,2024.0,
17214,Poland,POL,Gini index,SI.POV.GINI,2024.0,
17218,Portugal,PRT,Gini index,SI.POV.GINI,2024.0,
17225,Romania,ROU,Gini index,SI.POV.GINI,2024.0,
17238,Serbia,SRB,Gini index,SI.POV.GINI,2024.0,
17246,Slovenia,SVN,Gini index,SI.POV.GINI,2024.0,
17247,Sweden,SWE,Gini index,SI.POV.GINI,2024.0,
